damage_level,image_path,num_detections,centroids
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00160.jpg,0,[]
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00161.jpg,1,"[(361.32366943359375, 207.62704467773438)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00162.jpg,1,"[(355.3335266113281, 200.36947631835938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00163.jpg,1,"[(354.676513671875, 187.01487731933594)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00164.jpg,1,"[(356.2548828125, 177.86859130859375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00165.jpg,1,"[(357.7229309082031, 185.7678680419922)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00166.jpg,1,"[(349.44110107421875, 220.07058715820312)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00167.jpg,1,"[(356.8985595703125, 191.32533264160156)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00168.jpg,1,"[(353.2479248046875, 181.77330017089844)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00169.jpg,1,"[(341.5165100097656, 152.93287658691406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00170.jpg,1,"[(360.58160400390625, 224.5796661376953)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00171.jpg,1,"[(363.9573669433594, 200.00071716308594)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00172.jpg,1,"[(361.264892578125, 167.5674285888672)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00173.jpg,1,"[(356.60748291015625, 165.64393615722656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00174.jpg,1,"[(358.792724609375, 190.29933166503906)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00175.jpg,1,"[(349.23614501953125, 175.03895568847656)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00176.jpg,1,"[(351.715087890625, 200.1411590576172)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00177.jpg,1,"[(346.9620361328125, 179.15509033203125)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00178.jpg,1,"[(358.7835693359375, 201.85415649414062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00179.jpg,1,"[(359.98291015625, 189.61695861816406)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00180.jpg,1,"[(349.12841796875, 167.08139038085938)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00181.jpg,1,"[(349.64691162109375, 177.49046325683594)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00182.jpg,1,"[(354.2148742675781, 201.90328979492188)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00183.jpg,1,"[(358.68902587890625, 201.8856201171875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00184.jpg,1,"[(353.3180847167969, 188.06251525878906)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00185.jpg,1,"[(360.7195129394531, 158.81341552734375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00186.jpg,1,"[(353.84539794921875, 183.28271484375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00187.jpg,1,"[(344.5949401855469, 140.24365234375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00188.jpg,1,"[(363.42724609375, 201.27606201171875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00189.jpg,1,"[(357.32244873046875, 181.60350036621094)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00190.jpg,1,"[(357.4088134765625, 157.00259399414062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00191.jpg,1,"[(362.0881652832031, 189.28970336914062)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00192.jpg,1,"[(360.4346923828125, 180.14991760253906)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00193.jpg,1,"[(362.83953857421875, 189.11688232421875)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00194.jpg,1,"[(355.17584228515625, 157.3378143310547)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00195.jpg,1,"[(350.25286865234375, 168.13385009765625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00196.jpg,1,"[(356.3209228515625, 190.13177490234375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00197.jpg,1,"[(347.37823486328125, 187.15582275390625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00198.jpg,1,"[(355.55206298828125, 194.9287109375)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00199.jpg,1,"[(363.7572021484375, 200.42047119140625)]"
5cm,K:\Infrared flame recognition\flame\数据\Retinex\5cm\frame_00200.jpg,1,"[(352.4839172363281, 171.31654357910156)]"
